Period,Type of tourist,Overnight Stays,Carbon_kg,Carbon_MegaTons
2015,Domestic,240852.75552782905,8188993687.946188,8.19
2015,Inbound,193084.25782401123,17184498946.337,17.18
2016,Domestic,235803.5523751827,8017320780.756212,8.02
2016,Inbound,187224.95268189214,16663020788.688402,16.66
2017,Domestic,224212.42549147026,7623222466.709989,7.62
2017,Inbound,171035.79795177327,15222186017.707823,15.22
2018,Domestic,232122.10045514666,7892151415.474987,7.89
2018,Inbound,173928.98416324702,15479679590.528984,15.48
2019,Domestic,268750.5048022302,9137517163.275827,9.14
2019,Inbound,189035.68468773732,16824175937.208622,16.82
2020,Domestic,228538.2028771223,7770298897.822158,7.77
2020,Inbound,37824.22498972154,3366356024.0852165,3.37
2021,Domestic,353331.202,12013260868.0,12.01
2021,Inbound,31771.381,2827652909.0,2.83
2022,Domestic,369606.393,12566617362.0,12.57
2022,Inbound,270728.181,24094808109.0,24.09
2023,Domestic,495341.184,16841600256.0,16.84
2023,Inbound,432299.34500000003,38474641705.00001,38.47
2024,Domestic,538617.553,18312996802.0,18.31
2024,Inbound,560227.192,49860220088.0,49.86
