Month,Type of tourist,Average Length of Stay
2015--01,Inbound,10.14023287
2015--01,Domestic,4.789987084
2015--02,Inbound,10.92761411
2015--02,Domestic,4.839619518
2015--03,Inbound,9.577300556
2015--03,Domestic,4.774787562
2015--04,Inbound,10.69514736
2015--04,Domestic,4.519817953
2015--05,Inbound,8.951996189
2015--05,Domestic,4.619156233
2015--06,Inbound,10.23161816
2015--06,Domestic,6.188998196
2015--07,Inbound,8.907113857
2015--07,Domestic,5.789632944
2015--08,Inbound,8.127803037
2015--08,Domestic,6.187740542
2015--09,Inbound,17.08829371
2015--09,Domestic,5.877167952
2015--10,Inbound,9.701421804
2015--10,Domestic,5.172747031
2015--11,Inbound,9.10271376
2015--11,Domestic,4.370219796
2015--12,Inbound,10.92808128
2015--12,Domestic,4.646304324
2016--01,Inbound,9.496193171
2016--01,Domestic,4.691699816
2016--02,Inbound,9.327850204
2016--02,Domestic,4.5572099
2016--03,Inbound,10.21745069
2016--03,Domestic,4.85078676
2016--04,Inbound,10.62214697
2016--04,Domestic,5.140595932
2016--05,Inbound,9.62075842
2016--05,Domestic,5.509641393
2016--06,Inbound,8.539419923
2016--06,Domestic,5.803073189
2016--07,Inbound,7.302720467
2016--07,Domestic,6.411891965
2016--08,Inbound,12.31972683
2016--08,Domestic,5.849480988
2016--09,Inbound,19.42207754
2016--09,Domestic,5.211950673
2016--10,Inbound,6.16791597
2016--10,Domestic,4.932365827
2016--11,Inbound,7.328910798
2016--11,Domestic,5.095040198
2016--12,Inbound,8.378291133
2016--12,Domestic,4.675127929
2017--01,Inbound,8.463087259
2017--01,Domestic,5.096665538
2017--02,Inbound,9.768187935
2017--02,Domestic,4.74716816
2017--03,Inbound,10.55991242
2017--03,Domestic,4.81569763
2017--04,Inbound,9.125283374
2017--04,Domestic,4.957011586
2017--05,Inbound,9.564387686
2017--05,Domestic,4.556865198
2017--06,Inbound,8.967968388
2017--06,Domestic,5.240826734
2017--07,Inbound,4.713079017
2017--07,Domestic,6.31030307
2017--08,Inbound,6.070437317
2017--08,Domestic,6.422311654
2017--09,Inbound,20.94648115
2017--09,Domestic,5.344693086
2017--10,Inbound,8.283421002
2017--10,Domestic,4.729652607
2017--11,Inbound,9.646385155
2017--11,Domestic,4.252140087
2017--12,Inbound,8.389286321
2017--12,Domestic,4.631903847
2018--01,Inbound,8.093385894
2018--01,Domestic,5.149758872
2018--02,Inbound,8.177135947
2018--02,Domestic,4.736299909
2018--03,Inbound,11.38999781
2018--03,Domestic,4.815695631
2018--04,Inbound,9.309757317
2018--04,Domestic,4.936741196
2018--05,Inbound,10.05720147
2018--05,Domestic,4.526543012
2018--06,Inbound,8.696426146
2018--06,Domestic,5.382646286
2018--07,Inbound,5.199292405
2018--07,Domestic,6.704812812
2018--08,Inbound,20.28232069
2018--08,Domestic,6.519560721
2018--09,Inbound,5.338961804
2018--09,Domestic,6.123974213
2018--10,Inbound,9.802081657
2018--10,Domestic,5.544662485
2018--11,Inbound,12.89099075
2018--11,Domestic,4.845864042
2018--12,Inbound,12.00602869
2018--12,Domestic,4.770280834
2019--01,Inbound,8.672637112
2019--01,Domestic,4.599305192
2019--02,Inbound,8.971409967
2019--02,Domestic,4.231469778
2019--03,Inbound,10.43461667
2019--03,Domestic,4.356865426
2019--04,Inbound,9.231305594
2019--04,Domestic,4.620912317
2019--05,Inbound,9.501038753
2019--05,Domestic,5.273587734
2019--06,Inbound,7.635618659
2019--06,Domestic,4.720088112
2019--07,Inbound,6.476900103
2019--07,Domestic,6.094718084
2019--08,Inbound,19.57087822
2019--08,Domestic,6.870480776
2019--09,Inbound,6.460732184
2019--09,Domestic,6.330419396
2019--10,Inbound,9.903537674
2019--10,Domestic,6.000975671
2019--11,Inbound,10.73318408
2019--11,Domestic,7.347208655
2019--12,Inbound,9.856530922
2019--12,Domestic,6.954727883
2020--01,Inbound,9.333397584
2020--01,Domestic,4.656611172
2020--02,Inbound,10.47122976
2020--02,Domestic,4.259385834
2020--03,Inbound,6.761276045
2020--03,Domestic,4.202755949
2020--04,Inbound,2.61096087
2020--04,Domestic,5.715759352
2020--05,Inbound,2.624587837
2020--05,Domestic,3.104900679
2020--06,Inbound,2.814479921
2020--06,Domestic,6.589257055
2020--07,Inbound,3.408583108
2020--07,Domestic,7.58257428
2020--08,Inbound,3.465383081
2020--08,Domestic,6.852436905
2020--09,Inbound,3.513376573
2020--09,Domestic,5.34205224
2020--10,Inbound,7.464823902
2020--10,Domestic,4.621011203
2020--11,Inbound,8.352866301
2020--11,Domestic,4.824283989
2020--12,Inbound,10.02721716
2020--12,Domestic,5.93636067
2021--01,Inbound,10.06230062
2021--01,Domestic,5.161305088
2021--02,Inbound,10.00360418
2021--02,Domestic,4.980450065
2021--03,Inbound,7.662279294
2021--03,Domestic,5.09661837
2021--04,Inbound,7.918431405
2021--04,Domestic,5.159148877
2021--05,Inbound,6.416545106
2021--05,Domestic,6.692924553
2021--06,Inbound,6.69362015
2021--06,Domestic,6.258277708
2021--07,Inbound,7.443163983
2021--07,Domestic,7.948592762
2021--08,Inbound,7.372889074
2021--08,Domestic,5.487252319
2021--09,Inbound,7.706787462
2021--09,Domestic,4.539344162
2021--10,Inbound,11.09303692
2021--10,Domestic,4.27992506
2021--11,Inbound,9.945000881
2021--11,Domestic,4.688797977
2021--12,Inbound,10.64504075
2021--12,Domestic,4.677393851
2022--01,Inbound,19.33746184
2022--01,Domestic,4.475915944
2022--02,Inbound,19.16650926
2022--02,Domestic,4.429079209
2022--03,Inbound,16.60941762
2022--03,Domestic,4.545618857
2022--04,Inbound,18.23019667
2022--04,Domestic,5.010838153
2022--05,Inbound,14.98162796
2022--05,Domestic,4.35669552
2022--06,Inbound,13.90126706
2022--06,Domestic,4.522229647
2022--07,Inbound,10.72670175
2022--07,Domestic,6.609264219
2022--08,Inbound,17.02656405
2022--08,Domestic,4.915957656
2022--09,Inbound,19.70871965
2022--09,Domestic,4.030915343
2022--10,Inbound,17.3915905
2022--10,Domestic,3.986321341
2022--11,Inbound,16.12335391
2022--11,Domestic,4.170472751
2022--12,Inbound,15.4591041
2022--12,Domestic,3.952990264
2023--01,Inbound,14.11514709
2023--01,Domestic,5.483469061
2023--02,Inbound,14.50791664
2023--02,Domestic,5.234978833
2023--03,Inbound,19.78996127
2023--03,Domestic,5.437077179
2023--04,Inbound,17.64897298
2023--04,Domestic,5.539582951
2023--05,Inbound,21.08240821
2023--05,Domestic,5.427105705
2023--06,Inbound,20.87319697
2023--06,Domestic,8.152886301
2023--07,Inbound,12.09591856
2023--07,Domestic,7.085032056
2023--08,Inbound,12.6726227
2023--08,Domestic,5.437990234
2023--09,Inbound,13.79578542
2023--09,Domestic,5.679060006
2023--10,Inbound,13.78496868
2023--10,Domestic,6.359776066
2023--11,Inbound,15.49607206
2023--11,Domestic,5.98129016
2023--12,Inbound,11.9294196
2023--12,Domestic,5.304235645
2024--01,Inbound,14.62
2024--01,Domestic,5.31
2024--02,Inbound,16.33
2024--02,Domestic,5.24
2024--03,Inbound,21.02
2024--03,Domestic,6.58
2024--04,Inbound,17.27
2024--04,Domestic,5.75
2024--05,Inbound,27.81
2024--05,Domestic,5.57
2024--06,Inbound,27.11
2024--06,Domestic,10.54
2024--07,Inbound,20.34
2024--07,Domestic,6.33
2024--08,Inbound,17
2024--08,Domestic,5.57
2024--09,Inbound,18.8
2024--09,Domestic,5.66
2024--10,Inbound,17.83
2024--10,Domestic,5.34
2024--11,Inbound,16.97
2024--11,Domestic,5.63
2024--12,Inbound,15.51
2024--12,Domestic,5.79
