Month,Type of tourist,Average Spending per Trip
2015--01,Inbound,3979.732289
2015--01,Domestic,908.3359563
2015--02,Inbound,4736.73319
2015--02,Domestic,865.0034122
2015--03,Inbound,4363.32941
2015--03,Domestic,882.4715007
2015--04,Inbound,3922.575375
2015--04,Domestic,937.2737746
2015--05,Inbound,4071.690997
2015--05,Domestic,1035.355384
2015--06,Inbound,4872.645033
2015--06,Domestic,969.3507245
2015--07,Inbound,5792.47318
2015--07,Domestic,1086.830567
2015--08,Inbound,4461.594198
2015--08,Domestic,1187.451885
2015--09,Inbound,5118.418449
2015--09,Domestic,1217.569412
2015--10,Inbound,4754.49082
2015--10,Domestic,1206.061981
2015--11,Inbound,4429.787945
2015--11,Domestic,1201.609505
2015--12,Inbound,4673.375994
2015--12,Domestic,1017.399943
2016--01,Inbound,4640.003571
2016--01,Domestic,1130.893225
2016--02,Inbound,4513.925611
2016--02,Domestic,1114.943699
2016--03,Inbound,5589.025395
2016--03,Domestic,1137.467657
2016--04,Inbound,4173.528506
2016--04,Domestic,1272.893442
2016--05,Inbound,4754.860616
2016--05,Domestic,1682.84456
2016--06,Inbound,4936.967384
2016--06,Domestic,1179.086853
2016--07,Inbound,3473.538939
2016--07,Domestic,1254.636506
2016--08,Inbound,3254.53693
2016--08,Domestic,1324.649734
2016--09,Inbound,8846.998951
2016--09,Domestic,1442.555392
2016--10,Inbound,3777.334069
2016--10,Domestic,1054.30518
2016--11,Inbound,5533.377037
2016--11,Domestic,1125.545248
2016--12,Inbound,5582.576637
2016--12,Domestic,1105.789161
2017--01,Inbound,4255.528354
2017--01,Domestic,977.1512455
2017--02,Inbound,4677.742227
2017--02,Domestic,1052.755972
2017--03,Inbound,6044.583478
2017--03,Domestic,905.6978898
2017--04,Inbound,4597.408792
2017--04,Domestic,1121.408763
2017--05,Inbound,5258.941149
2017--05,Domestic,1073.932194
2017--06,Inbound,4737.366801
2017--06,Domestic,977.7540755
2017--07,Inbound,3943.304198
2017--07,Domestic,1029.201975
2017--08,Inbound,4238.157272
2017--08,Domestic,1048.548774
2017--09,Inbound,12948.76757
2017--09,Domestic,1467.946345
2017--10,Inbound,4659.421613
2017--10,Domestic,997.4733982
2017--11,Inbound,5699.074609
2017--11,Domestic,932.235601
2017--12,Inbound,5233.912804
2017--12,Domestic,1045.596746
2018--01,Inbound,4394.701047
2018--01,Domestic,866.2480937
2018--02,Inbound,5075.593278
2018--02,Domestic,1048.081455
2018--03,Inbound,4588.074261
2018--03,Domestic,911.3409628
2018--04,Inbound,3763.69221
2018--04,Domestic,1127.482177
2018--05,Inbound,4157.054477
2018--05,Domestic,1047.987139
2018--06,Inbound,4171.627349
2018--06,Domestic,972.5382761
2018--07,Inbound,4146.076919
2018--07,Domestic,1133.701552
2018--08,Inbound,12472.88015
2018--08,Domestic,1561.284187
2018--09,Inbound,4520.967703
2018--09,Domestic,1384.366606
2018--10,Inbound,6082.463333
2018--10,Domestic,1289.718065
2018--11,Inbound,6953.647507
2018--11,Domestic,1120.277851
2018--12,Inbound,6134.19452
2018--12,Domestic,910.2024856
2019--01,Inbound,4827.514117
2019--01,Domestic,875.1071328
2019--02,Inbound,4541.006509
2019--02,Domestic,939.991308
2019--03,Inbound,4228.207981
2019--03,Domestic,929.7987999
2019--04,Inbound,3763.134546
2019--04,Domestic,997.9713305
2019--05,Inbound,4889.387646
2019--05,Domestic,1030.396203
2019--06,Inbound,4489.464346
2019--06,Domestic,889.6919424
2019--07,Inbound,4485.374581
2019--07,Domestic,1058.528692
2019--08,Inbound,13053.43376
2019--08,Domestic,1634.938114
2019--09,Inbound,4952.273889
2019--09,Domestic,1403.715166
2019--10,Inbound,4646.836815
2019--10,Domestic,1596.348443
2019--11,Inbound,4321.74068
2019--11,Domestic,2378.383114
2019--12,Inbound,5444.943153
2019--12,Domestic,1676.00846
2020--01,Inbound,5070.146884
2020--01,Domestic,934.9536031
2020--02,Inbound,5401.624591
2020--02,Domestic,984.4117391
2020--03,Inbound,4152.676956
2020--03,Domestic,1033.255558
2020--04,Inbound,2354.129824
2020--04,Domestic,1502.489331
2020--05,Inbound,2543.056143
2020--05,Domestic,592.0596376
2020--06,Inbound,2382.122709
2020--06,Domestic,968.1144377
2020--07,Inbound,2620.604548
2020--07,Domestic,1096.890376
2020--08,Inbound,2761.022108
2020--08,Domestic,1021.865389
2020--09,Inbound,2396.50426
2020--09,Domestic,1056.155493
2020--10,Inbound,3741.102935
2020--10,Domestic,932.3768847
2020--11,Inbound,4037.715
2020--11,Domestic,1079.525803
2020--12,Inbound,4164.713347
2020--12,Domestic,1148.825746
2021--01,Inbound,4072.1
2021--01,Domestic,1511.43
2021--02,Inbound,4655.04
2021--02,Domestic,1526.87
2021--03,Inbound,3391.84
2021--03,Domestic,1515.92
2021--04,Inbound,4549.24
2021--04,Domestic,1568.59
2021--05,Inbound,4030.12
2021--05,Domestic,1701.54
2021--06,Inbound,4523.88
2021--06,Domestic,1687.91
2021--07,Inbound,4305.12
2021--07,Domestic,1847.4
2021--08,Inbound,3753.5
2021--08,Domestic,1619.37
2021--09,Inbound,3605.24
2021--09,Domestic,1468.3
2021--10,Inbound,4267.24
2021--10,Domestic,1397.86
2021--11,Inbound,4538.99
2021--11,Domestic,1641.41
2021--12,Inbound,4479.37
2021--12,Domestic,1544.18
2022--01,Inbound,5733.22
2022--01,Domestic,1479.45
2022--02,Inbound,6934.4
2022--02,Domestic,1416.06
2022--03,Inbound,6333.38
2022--03,Domestic,1336.98
2022--04,Inbound,7574.83
2022--04,Domestic,1258.64
2022--05,Inbound,5299.61
2022--05,Domestic,1314.57
2022--06,Inbound,4286.9
2022--06,Domestic,1488.09
2022--07,Inbound,8952.1
2022--07,Domestic,1635.56
2022--08,Inbound,6003.32
2022--08,Domestic,1602.67
2022--09,Inbound,5015.12
2022--09,Domestic,1246.96
2022--10,Inbound,5069.52
2022--10,Domestic,1228.57
2022--11,Inbound,4640.67
2022--11,Domestic,1179.49
2022--12,Inbound,5044.29
2022--12,Domestic,1036.34
2023--01,Inbound,4259.76
2023--01,Domestic,1324.03
2023--02,Inbound,4766.29
2023--02,Domestic,1359.06
2023--03,Inbound,6027.99
2023--03,Domestic,1498.5
2023--04,Inbound,5347.86
2023--04,Domestic,1370.1
2023--05,Inbound,6051.19
2023--05,Domestic,1341.91
2023--06,Inbound,10637.48
2023--06,Domestic,1614.14
2023--07,Inbound,3685.42
2023--07,Domestic,1387.1
2023--08,Inbound,3296.28
2023--08,Domestic,1234.87
2023--09,Inbound,3792.01
2023--09,Domestic,1367.98
2023--10,Inbound,4180.43
2023--10,Domestic,1462.41
2023--11,Inbound,4375.33
2023--11,Domestic,1310.07
2023--12,Inbound,3661.72
2023--12,Domestic,1406.52
2024--01,Inbound,3943.83
2024--01,Domestic,1290.48
2024--02,Inbound,5112.86
2024--02,Domestic,1315.04
2024--03,Inbound,5543.53
2024--03,Domestic,1478.7
2024--04,Inbound,5086.79
2024--04,Domestic,1160.19
2024--05,Inbound,5429.39
2024--05,Domestic,1304.2
2024--06,Inbound,10700.19
2024--06,Domestic,1553.95
2024--07,Inbound,4965.26
2024--07,Domestic,1194.8
2024--08,Inbound,4527.63
2024--08,Domestic,1349.82
2024--09,Inbound,5280.32
2024--09,Domestic,1383.67
2024--10,Inbound,6038.14
2024--10,Domestic,1432.65
2024--11,Inbound,5345.9
2024--11,Domestic,1300.91
2024--12,Inbound,5487.47
2024--12,Domestic,1272.63
